country_code,country_name,start_year,end_year,label_end_year,classification,source_table_row,source_country_text,source_start_text,source_end_text,source_table,source_url,source_pdf_sha256
ALB,Albania,1994,1994.0,1994,systemic,1,Albania,1994,1994,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
DZA,Algeria,1990,1994.0,1994,systemic,2,Algeria,1990,1994 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
AGO,Angola,2016,2020.0,2020,systemic,3,Angola,2016,2020 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ARG,Argentina,1980,1982.0,1982,systemic,4,Argentina,1980,1982,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ARG,Argentina,1989,1991.0,1991,systemic,5,Argentina,1989,1991,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ARG,Argentina,2001,2003.0,2003,systemic,6,Argentina,2001,2003,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ARG,Argentina,1995,1995.0,1995,systemic,7,Argentina,1995,1995,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ARM,Armenia,1994,1994.0,1994,systemic,8,Armenia,1994,1994,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
AUT,Austria,2008,2012.0,2012,systemic,9,Austria,2008,2012 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
AZE,Azerbaijan,2015,2019.0,2019,systemic,10,Azerbaijan,2015,2019 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
AZE,Azerbaijan,1995,1995.0,1995,systemic,11,Azerbaijan,1995,1995,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
BGD,Bangladesh,1987,1987.0,1987,systemic,12,Bangladesh,1987,1987,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
BLR,Belarus,1995,1995.0,1995,systemic,13,Belarus,1995,1995,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
BEL,Belgium,2008,2012.0,2012,systemic,14,Belgium,2008,2012 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
BEN,Benin,1988,1992.0,1992,systemic,15,Benin,1988,1992 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
